DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-15 13:38:29.109 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 214930638, 0.40552062, 0.5694411, -0.40354693, 0.59028786, 0.0065797744, 0.010203366, 0.07741547, 0
2, 214947305, 0.40544468, 0.56943583, -0.40362814, 0.5902895, -0.010340268, -0.0046678446, 0.070010185, 0
3, 214963972, 0.40546072, 0.56946355, -0.40361688, 0.5902597, 0.010578644, -0.0045154085, 0.058149338, 0
4, 214980639, 0.40546173, 0.56942993, -0.4036142, 0.590293, -0.0045595528, -0.005787868, 0.07241726, 0
5, 214997306, 0.4054795, 0.56942123, -0.40359783, 0.5903004, 0.010272432, -0.024180526, 0.07319164, 0
6, 215013973, 0.4055255, 0.56937045, -0.40356386, 0.5903412, -0.0025550884, -0.01935667, 0.063607216, 0
7, 215030640, 0.40556768, 0.5693379, -0.4035125, 0.5903787, 0.005471597, -0.0015075948, 0.05358219, 0
8, 215047307, 0.40559027, 0.5693093, -0.40348577, 0.59040904, 0.016287388, 0.0025715167, 0.07611561, 0
9, 215063974, 0.40559715, 0.5692884, -0.40346992, 0.5904352, 0.014015157, 0.0031662846, 0.07476044, 0
10, 215080641, 0.4055993, 0.569269, -0.40347666, 0.5904479, 0.012025891, 0.016966645, 0.061676025, 0
11, 215097308, 0.40558377, 0.5692528, -0.40348583, 0.59046793, -0.012800923, 0.0034776381, 0.0687027, 0
12, 215113975, 0.40558216, 0.5692398, -0.40348905, 0.5904794, -0.002749321, 0.004831456, 0.07925129, 0
13, 215130642, 0.40558794, 0.56922424, -0.40350732, 0.5904778, -0.011302715, -0.0052033816, 0.07255077, 0
14, 215147309, 0.4056141, 0.5692045, -0.40352386, 0.59046763, 4.6613626E-4, 9.955267E-4, 0.063643456, 0
15, 215163976, 0.40557432, 0.56923515, -0.40347746, 0.59049714, 0.0111431265, -0.022547986, 0.071694374, 0
16, 215180643, 0.40561694, 0.5691953, -0.40352, 0.5904773, -0.003841629, 0.0035127297, 0.08236885, 0
17, 215197310, 0.40560284, 0.5692119, -0.40349218, 0.59049, 0.009982983, 0.00435962, 0.0821743, 0
18, 215213977, 0.40512237, 0.5695485, -0.4030234, 0.5908151, 0.0119018415, 0.0021126445, 0.060585022, 0
19, 215230644, 0.4049549, 0.5696537, -0.40287504, 0.5909296, 9.873685E-4, -3.1492976E-4, 0.07556152, 0
20, 215247311, 0.40512303, 0.56953365, -0.40303725, 0.5908195, -0.00874338, 0.007895148, 0.06558609, 0
21, 215263978, 0.40517426, 0.5694972, -0.40308443, 0.5907873, 0.0012841937, -7.76037E-4, 0.07186031, 0
22, 215280645, 0.40523744, 0.5694478, -0.40315482, 0.59074354, 0.008248634, -0.0076287207, 0.07797146, 0
23, 215297312, 0.40507478, 0.5695537, -0.4029963, 0.5908614, 0.011584565, -3.967355E-4, 0.06104088, 0
24, 215313979, 0.40509892, 0.5695354, -0.40303135, 0.59083855, 0.0060086986, 2.3602968E-4, 0.067840576, 0
25, 215330646, 0.40497538, 0.5696197, -0.40291265, 0.5909228, -0.004597438, 0.0021984733, 0.06906986, 0
26, 215347313, 0.40507606, 0.56955504, -0.40301153, 0.5908486, -0.018479269, -0.0023763897, 0.058677673, 0
27, 215363980, 0.40428805, 0.57009554, -0.40224412, 0.5913899, -0.0062286356, 0.019982059, 0.06490898, 0
28, 215380647, 0.40472785, 0.56980586, -0.40266085, 0.5910845, -0.03353052, 0.008689066, 0.06899166, 0
29, 215397314, 0.40470347, 0.5698185, -0.40263888, 0.5911039, 0.0060335086, -0.01126997, 0.07323456, 0
30, 215413981, 0.40462887, 0.5698675, -0.40257227, 0.5911532, 0.025900792, 0.0025395541, 0.07075024, 0
31, 215430648, 0.40453383, 0.569934, -0.4024871, 0.5912122, 0.0067445035, 0.007247631, 0.07898712, 0
32, 215447315, 0.4043987, 0.5700269, -0.40235814, 0.5913028, -0.009097871, 0.0036354382, 0.07795048, 0
33, 215463982, 0.40434706, 0.57006425, -0.40232152, 0.591327, -0.011109823, 0.0073685516, 0.079330444, 0
34, 215480649, 0.40395293, 0.57034045, -0.40194216, 0.591588, -0.0076480545, 0.01168861, 0.070117, 0
35, 215497316, 0.403796, 0.5704554, -0.40177467, 0.5916982, -1.2427321E-4, 0.011275111, 0.07223225, 0
36, 215513983, 0.40359172, 0.5705962, -0.4015882, 0.5918283, 0.0032163514, -0.0036010172, 0.06493664, 0
37, 215530650, 0.4037709, 0.57047534, -0.40175772, 0.59170747, 1.784751E-4, 0.0013696874, 0.068470955, 0
38, 215547317, 0.40374818, 0.57049096, -0.40173864, 0.5917208, 0.012074952, -0.006837485, 0.060432434, 0
39, 215563984, 0.40360108, 0.57059175, -0.40160057, 0.59181774, 0.0010349768, 0.013529239, 0.07529926, 0
40, 215580651, 0.40393662, 0.5703691, -0.40191075, 0.5915929, -0.01381366, 0.009331442, 0.065802574, 0
41, 215597318, 0.4039294, 0.57038385, -0.40189338, 0.5915954, 0.0050758673, 0.0070066843, 0.06788921, 0
42, 215613985, 0.40393654, 0.5703895, -0.40189508, 0.59158397, -0.0077440534, -0.012529242, 0.081017494, 0
43, 215630652, 0.40405074, 0.57031757, -0.402012, 0.5914959, 0.0012798352, 2.2060728E-4, 0.08219433, 0
44, 215647319, 0.4039478, 0.5703892, -0.40190613, 0.5915689, -0.008941077, 0.007247184, 0.07205105, 0
45, 215663986, 0.4037474, 0.5705246, -0.40171057, 0.5917081, 0.002029833, -0.004520773, 0.07022858, 0
46, 215680653, 0.40381435, 0.5704916, -0.4017619, 0.59165937, -0.006712988, 0.014848189, 0.07682705, 0
47, 215697320, 0.4037714, 0.57052475, -0.40172154, 0.591684, -0.005928346, -0.009114635, 0.07828331, 0
48, 215713987, 0.40390843, 0.5704334, -0.40185758, 0.5915862, -0.0026596924, 3.9897062E-4, 0.06820679, 0
49, 215730654, 0.40315557, 0.5709545, -0.40113232, 0.592089, -0.008659227, -6.870788E-4, 0.06967926, 0
50, 215747321, 0.4031878, 0.5709339, -0.40115094, 0.5920744, -0.014097968, 0.0022556928, 0.0579319, 0
51, 215763988, 0.40311128, 0.57098836, -0.40107155, 0.5921278, 0.0050849197, 0.0029123737, 0.06840706, 0
52, 215780655, 0.4031413, 0.57097536, -0.40110123, 0.5920998, -0.0063025067, -0.013299021, 0.06628132, 0
53, 215797322, 0.40299273, 0.57107824, -0.4009585, 0.5921983, -0.006440973, -0.0016240451, 0.084332466, 0
54, 215813989, 0.40300897, 0.5710717, -0.40097156, 0.5921847, -0.012712299, 0.0026848377, 0.07263756, 0
55, 215830656, 0.4031163, 0.5710027, -0.40106955, 0.5921118, -0.0053957147, -0.0078099896, 0.065252304, 0
56, 215847323, 0.40285698, 0.57117933, -0.40081984, 0.592287, 0.007305968, 0.017163113, 0.07529545, 0
57, 215863990, 0.40288737, 0.5711584, -0.40083733, 0.59227467, -0.008337145, -0.0010446996, 0.08142662, 0
58, 215880657, 0.40248236, 0.57143813, -0.40045732, 0.5925372, 7.8173657E-4, 0.008590721, 0.08282471, 0
59, 215897324, 0.40239787, 0.57149583, -0.400382, 0.59259, 0.0077293017, 0.0062062843, 0.06782532, 0
60, 215913991, 0.4026191, 0.57134223, -0.4006024, 0.5924388, 0.0042671976, -0.0013231967, 0.06927967, 0
61, 215930658, 0.4026584, 0.57131636, -0.4006371, 0.59241354, 0.0022121076, 0.004406558, 0.066576004, 0
62, 215947325, 0.40272397, 0.5712766, -0.40069142, 0.5923705, -0.001384551, -0.006228412, 0.058229446, 0
63, 215963992, 0.40242016, 0.57148266, -0.40040678, 0.5925708, -0.008220695, 0.0057319896, 0.06594181, 0
64, 215980659, 0.4023884, 0.5715113, -0.40036228, 0.5925948, 0.0020514019, 0.0042592627, 0.06421375, 0
65, 215997326, 0.40214953, 0.5716848, -0.40012985, 0.5927465, 0.0030613453, 0.019372314, 0.06586075, 0
66, 216013993, 0.4020772, 0.5717367, -0.40005875, 0.59279346, 0.014989897, -0.004307318, 0.07610798, 0
67, 216030660, 0.40231827, 0.5715807, -0.40027195, 0.5926364, 4.2713326E-4, -0.004075982, 0.06648159, 0
