DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-16 16:50:55.976 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1224911426, 0.8077885, 0.48478433, 0.25657976, 0.21593727, -0.07679257, 0.08404311, 0.0448761, 0
2, 1224928093, 0.8064757, 0.48652452, 0.2569921, 0.21643959, -0.07882855, 0.016535936, 0.03198719, 0
3, 1224944760, 0.8058626, 0.48758295, 0.25752246, 0.21571016, 0.0023077712, -0.010954817, 0.049450874, 0
4, 1224961427, 0.80564237, 0.4880198, 0.25774157, 0.21528207, 0.032198828, -0.04278172, 0.038360596, 0
5, 1224978094, 0.8056328, 0.48809135, 0.25784242, 0.2150348, 0.046492036, -0.02271875, 0.04081726, 0
6, 1224994761, 0.805661, 0.4880588, 0.25787914, 0.21495937, 0.020280896, 0.006764396, -0.025063515, 0
7, 1225011428, 0.8056735, 0.48798123, 0.25798124, 0.21496578, 0.0049812095, -0.0033142501, -0.009758949, 0
8, 1225028095, 0.8057037, 0.4879323, 0.2580367, 0.21489742, 0.06717995, -0.062896095, 0.0059900284, 0
9, 1225044762, 0.8057935, 0.48777848, 0.25810274, 0.21483079, 0.049125243, -0.021718306, 0.025852203, 0
10, 1225061429, 0.8058944, 0.48756552, 0.25822166, 0.21479277, 0.012264603, 0.07638421, 0.035765648, 0
11, 1225078096, 0.8059494, 0.48743168, 0.25829187, 0.21480577, -0.041055307, 0.06336816, 0.039349556, 0
12, 1225094763, 0.8059765, 0.4874011, 0.2582888, 0.21477689, 0.0032753588, -0.014441619, 0.0033159256, 0
13, 1225111430, 0.8059835, 0.48740545, 0.2583115, 0.21471356, -0.0063911295, -0.03840489, 0.005431175, 0
14, 1225128097, 0.80601674, 0.48735815, 0.2583445, 0.21465668, -0.011694645, -0.01844563, -0.04181099, 0
15, 1225144764, 0.8060989, 0.48720047, 0.25842792, 0.21460576, -0.020290507, 0.018478263, -0.053830147, 0
16, 1225161431, 0.8061944, 0.48701093, 0.2585255, 0.21455911, -0.004270215, 0.013340594, -0.05470276, 0
17, 1225178098, 0.8062415, 0.4869087, 0.2586427, 0.21447322, -0.022938464, -0.0041180025, -0.042780876, 0
