DeviceTag:,Xsens DOT 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-16 16:50:55.975 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1368432929, 0.12316892, -0.7823465, -0.15965344, -0.5892997, 0.004357008, 4.6535398E-4, 0.05317974, 0
2, 1368449596, 0.12314853, -0.7823168, -0.15967028, -0.58933896, 0.011947424, -7.903418E-4, 0.055854797, 0
3, 1368466263, 0.123119414, -0.78226376, -0.1596958, -0.5894086, -6.113219E-4, -0.010851777, 0.07662201, 0
4, 1368482930, 0.123070754, -0.7822442, -0.15974413, -0.58943135, -0.007067787, -0.0049226494, 0.04885006, 0
5, 1368499597, 0.123042144, -0.7822508, -0.15977678, -0.58941966, -0.0014718887, -0.002056878, 0.069766045, 0
6, 1368516264, 0.12302644, -0.78225803, -0.1597866, -0.58941096, -0.0028663022, -0.0026155487, 0.05758667, 0
7, 1368532931, 0.123006806, -0.7822652, -0.1598032, -0.58940107, -0.010084905, -0.006196673, 0.045306206, 0
8, 1368549598, 0.12299286, -0.7822845, -0.15981014, -0.58937657, -0.012913475, -0.010093287, 0.054125786, 0
9, 1368566265, 0.12297903, -0.7823083, -0.1598162, -0.58934605, 0.011362937, -0.0034047728, 0.05693817, 0
10, 1368582932, 0.12295969, -0.7823178, -0.15983392, -0.5893325, 8.270398E-4, -0.0048831995, 0.062177658, 0
11, 1368599599, 0.12295353, -0.78232294, -0.15985453, -0.5893213, -8.80194E-4, 0.0057243905, 0.064769745, 0
12, 1368616266, 0.12294519, -0.7823312, -0.15986721, -0.5893087, -0.0028577808, 0.002977528, 0.047510147, 0
13, 1368632933, 0.12294726, -0.78233653, -0.1598832, -0.58929706, -0.0016312674, 0.0026134253, 0.05980873, 0
14, 1368649600, 0.122950904, -0.7823349, -0.15990768, -0.58929175, -0.011615857, 0.007616986, 0.06407356, 0
15, 1368666267, 0.12302743, -0.78231674, -0.16000202, -0.5892743, -0.012566807, 0.00749316, 0.053453445, 0
16, 1368682934, 0.12309232, -0.7823027, -0.1600961, -0.5892539, 0.013703104, 0.0023473331, 0.06803894, 0
17, 1368699601, 0.12308457, -0.78231466, -0.16008015, -0.58924395, 0.0041838554, 0.0051263813, 0.06378937, 0
18, 1368716268, 0.12289815, -0.7823599, -0.15982814, -0.58929104, 0.0015918034, -0.0022370294, 0.0672884, 0
19, 1368732935, 0.12298227, -0.7823432, -0.15994026, -0.5892654, -0.004547497, 0.0014748502, 0.057302475, 0
20, 1368749602, 0.1229654, -0.7823519, -0.1599113, -0.5892653, 0.004252893, 0.0058968305, 0.060043335, 0
21, 1368766269, 0.1229965, -0.7823424, -0.15995082, -0.5892606, 0.0030787233, 0.006449355, 0.055794716, 0
22, 1368782936, 0.12310334, -0.78230834, -0.16011374, -0.5892391, -0.002340432, 5.8102194E-4, 0.05681324, 0
23, 1368799603, 0.12331978, -0.78224903, -0.16039562, -0.589196, -0.0053401156, 0.003985124, 0.05791378, 0
24, 1368816270, 0.12332281, -0.78225136, -0.16039324, -0.58919287, 0.0015007638, 0.0010915255, 0.065525055, 0
25, 1368832937, 0.123669885, -0.7821593, -0.16084206, -0.58912, 0.008417037, -0.008460189, 0.058875084, 0
26, 1368849604, 0.12363145, -0.7821688, -0.16079283, -0.5891288, 0.014434341, 0.012583444, 0.050209045, 0
27, 1368866271, 0.123789795, -0.782123, -0.160997, -0.5891006, -0.002407961, 0.007174207, 0.058642387, 0
28, 1368882938, 0.12373841, -0.782142, -0.16092177, -0.5891069, 0.0045259697, 0.0076457076, 0.048379898, 0
29, 1368899605, 0.12371635, -0.78214896, -0.16088907, -0.58911127, 0.0094950395, 0.0054890313, 0.07176685, 0
30, 1368916272, 0.12359475, -0.78218126, -0.16071786, -0.5891406, -0.0030212107, -0.0026290712, 0.06407452, 0
31, 1368932939, 0.12372284, -0.78214693, -0.16087449, -0.5891166, -0.0023871602, 0.0029615466, 0.06294727, 0
32, 1368949606, 0.123766415, -0.7821299, -0.16093053, -0.58911484, 0.012092358, 0.0035991173, 0.052535057, 0
33, 1368966273, 0.12375836, -0.7821318, -0.16090688, -0.5891204, 0.01880068, 0.0050978833, 0.060138702, 0
34, 1368982940, 0.123739615, -0.78212976, -0.16089036, -0.5891315, 0.0035908055, -0.0018010674, 0.07455444, 0
35, 1368999607, 0.123723015, -0.7821312, -0.16086887, -0.58913887, 5.6596275E-4, 0.0075970935, 0.06520462, 0
36, 1369016274, 0.12378097, -0.78211623, -0.16094775, -0.589125, 0.005150856, 0.018525088, 0.065564156, 0
37, 1369032941, 0.12378044, -0.78211343, -0.16095798, -0.58912605, 0.010901495, 0.01615384, 0.047987938, 0
38, 1369049608, 0.123727925, -0.7821243, -0.16088288, -0.5891433, 0.0013441789, -0.0027926827, 0.058859825, 0
39, 1369066275, 0.12377968, -0.7821053, -0.16094446, -0.5891407, 0.013341265, 0.01121521, 0.06846905, 0
