DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-15 14:15:13.639 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1807222109, 0.81465787, 0.4318649, 0.36320022, 0.13383177, 2.3106592, -0.1238378, -0.2421503, 0
2, 1807238776, 0.8248884, 0.42784134, 0.33927345, 0.14630306, 1.7578222, -0.17073484, -0.123529434, 0
3, 1807255443, 0.833552, 0.42326975, 0.31854102, 0.15673414, 1.2995827, -0.18519479, -0.08489227, 0
4, 1807272110, 0.8395314, 0.41940483, 0.30407354, 0.1637864, 0.984151, -0.1735949, -0.07477951, 0
5, 1807288777, 0.84354323, 0.41643524, 0.29437843, 0.16839859, 0.75719684, -0.14062408, -0.06229496, 0
6, 1807305444, 0.84629995, 0.41420054, 0.28776017, 0.17148937, 0.57741064, -0.11892923, -0.028155327, 0
7, 1807322111, 0.84826785, 0.41249877, 0.28311187, 0.17359193, 0.4607923, -0.10609065, -0.0055189133, 0
8, 1807338778, 0.8497247, 0.4112072, 0.27970278, 0.17505144, 0.38209674, -0.101141624, -0.0012779236, 0
9, 1807355445, 0.85083836, 0.41019276, 0.27713987, 0.17609522, 0.3050145, -0.06562206, -0.013667107, 0
10, 1807372112, 0.8516765, 0.40939972, 0.27521476, 0.17690663, 0.2965838, -0.038090184, -0.0035848618, 0
11, 1807388779, 0.8522933, 0.40880927, 0.27374783, 0.17757665, 0.26764336, -0.07689248, -0.00847435, 0
12, 1807405446, 0.8527674, 0.40834048, 0.27260688, 0.17813358, 0.22782564, -0.09929921, -0.034466743, 0
13, 1807422113, 0.85315794, 0.40788856, 0.27175587, 0.1785982, 0.20024951, -0.07193183, -0.007949829, 0
14, 1807438780, 0.85352737, 0.40743473, 0.27103975, 0.17895712, 0.17644203, -0.07977289, 0.012341499, 0
15, 1807455447, 0.8538946, 0.4069849, 0.27038494, 0.17921926, 0.13185163, -0.048161454, 0.029990196, 0
