DeviceTag:,Xsens DOT 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-15 14:15:13.640 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1807245722, 0.8420342, -0.24749269, -0.36344326, -0.31246576, 0.018115055, -0.03523458, 0.17587852, 0
2, 1807262389, 0.8419048, -0.24779515, -0.36362952, -0.31235793, 0.0014161781, -0.02178983, 0.13574886, 0
3, 1807279056, 0.841815, -0.24804753, -0.36373326, -0.31227902, -0.012049807, 0.0073450827, 0.13859844, 0
4, 1807295723, 0.84181637, -0.24814346, -0.36369616, -0.31224242, -0.034237716, 0.016453013, 0.14764214, 0
5, 1807312390, 0.84186864, -0.24818449, -0.36357316, -0.31221217, -0.025435103, 0.019807272, 0.14875793, 0
6, 1807329057, 0.84192926, -0.24817587, -0.36344716, -0.31220204, -3.2923458E-4, 0.008602791, 0.14648533, 0
7, 1807345724, 0.8419697, -0.24815033, -0.3633543, -0.31222135, 0.012208277, 0.009182359, 0.15493011, 0
8, 1807362391, 0.84200275, -0.24811201, -0.36328188, -0.31224686, -0.0021383485, -0.009978959, 0.1537714, 0
9, 1807379058, 0.8420214, -0.24810551, -0.36323372, -0.31225786, 0.0042751324, -8.822056E-4, 0.16849041, 0
10, 1807395725, 0.8420514, -0.24811049, -0.3631646, -0.3122533, 0.009470467, -0.008756567, 0.1580782, 0
11, 1807412392, 0.8420729, -0.24811512, -0.36310318, -0.31226304, -0.018204236, 0.0117507465, 0.13758087, 0
12, 1807429059, 0.84207344, -0.24811807, -0.36307997, -0.31228632, -0.028994324, 0.021658853, 0.12961102, 0
13, 1807445726, 0.8420804, -0.24809134, -0.3630813, -0.31228712, -0.016485197, 0.027189905, 0.15317917, 0
14, 1807462393, 0.8420568, -0.24811384, -0.3630493, -0.31237027, 0.011408995, 0.0010759913, 0.17509365, 0
15, 1807479060, 0.84197575, -0.24819344, -0.3629693, -0.3126184, 0.0047588143, -0.01265508, 0.16251945, 0
16, 1807495727, 0.84213215, -0.24801376, -0.3630534, -0.31224185, 0.012761695, -0.02437677, 0.14848995, 0
17, 1807512394, 0.8420934, -0.24806003, -0.36298293, -0.3123914, 0.0156506, -0.014073493, 0.13790894, 0
18, 1807529061, 0.84188634, -0.24831215, -0.36279932, -0.3129623, 0.0051497384, 0.012737333, 0.13982773, 0
19, 1807545728, 0.8416419, -0.24860366, -0.3625555, -0.3136695, 0.0098263, 0.0026792497, 0.13789463, 0
20, 1807562395, 0.8416496, -0.24859498, -0.36251837, -0.3136987, -0.018601643, 0.022752501, 0.119402885, 0
21, 1807579062, 0.8415359, -0.24870916, -0.36243683, -0.31400746, -0.0066586747, 0.028059145, 0.14653873, 0
22, 1807595729, 0.8415192, -0.24871768, -0.3624214, -0.31406325, 0.00352994, 0.0019076831, 0.13589668, 0
