DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-15 14:15:13.640 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1807282252, 0.4273267, 0.003350119, -0.0032162096, 0.9040854, 0.014447373, 0.006745822, 0.15288067, 0
2, 1807298919, 0.4273289, 0.0032265023, -0.003347501, 0.9040844, 0.006732106, 0.00180793, 0.16619778, 0
3, 1807315586, 0.4273285, 0.003138466, -0.003431843, 0.90408456, 0.011048576, -0.002692464, 0.1561594, 0
4, 1807332253, 0.42732376, 0.0030421403, -0.003481064, 0.9040869, -0.0041969568, -0.021325128, 0.16007614, 0
5, 1807348920, 0.42731118, 0.0029814404, -0.003436474, 0.9040932, -0.00339093, 0.004925981, 0.1485014, 0
6, 1807365587, 0.427315, 0.0029615404, -0.003405763, 0.9040916, 0.008497927, -0.011999046, 0.14908504, 0
7, 1807382254, 0.42730853, 0.0029258507, -0.0033783957, 0.9040948, 0.009771394, 0.005151224, 0.16080952, 0
8, 1807398921, 0.4273028, 0.002896947, -0.0033735002, 0.90409774, 0.018396633, 0.003303153, 0.14538574, 0
9, 1807415588, 0.42730692, 0.0028590567, -0.003390116, 0.9040959, 0.012437066, -0.0011133382, 0.15606785, 0
10, 1807432255, 0.42731225, 0.002826905, -0.0034059915, 0.90409327, 0.003531359, 0.014562593, 0.14584732, 0
11, 1807448922, 0.4273187, 0.0028077688, -0.003421996, 0.90409017, 0.0010998601, 0.007346249, 0.14919567, 0
12, 1807465589, 0.4273164, 0.0027935405, -0.003448147, 0.90409124, -0.01878864, -0.007397798, 0.15285587, 0
13, 1807482256, 0.42731795, 0.0027978956, -0.0034460179, 0.9040906, 0.0055960207, -0.006829979, 0.16036224, 0
14, 1807498923, 0.42733398, 0.00278159, -0.0034479345, 0.9040831, -0.0072692437, -0.006375443, 0.1410532, 0
15, 1807515590, 0.42726457, 0.002783661, -0.0034372015, 0.9041159, 0.008110414, 0.0028209274, 0.15460968, 0
16, 1807532257, 0.4271192, 0.002779027, -0.0034246792, 0.90418464, 0.01383034, 0.017037302, 0.1515255, 0
17, 1807548924, 0.42666733, 0.0027751997, -0.0034304871, 0.9043979, 0.0028264627, 0.014161791, 0.15481281, 0
18, 1807565591, 0.4265254, 0.002776296, -0.003440333, 0.90446484, 4.5284335E-4, -0.0025424024, 0.13649178, 0
19, 1807582258, 0.42551997, 0.0027744044, -0.0034411128, 0.90493834, -0.0013846671, -0.008836063, 0.1537342, 0
20, 1807598925, 0.42517152, 0.002765177, -0.003451084, 0.905102, 0.0049445713, 0.006888948, 0.16003227, 0
21, 1807615592, 0.42520025, 0.0027660565, -0.0034546328, 0.90508854, -0.0024584958, -0.014687996, 0.15594292, 0
22, 1807632259, 0.42528865, 0.0027662427, -0.0034640124, 0.905047, -0.0035325629, -0.002694501, 0.17654037, 0
23, 1807648926, 0.42548487, 0.0027631468, -0.0034711862, 0.9049548, 0.002991588, 0.006053949, 0.1573534, 0
24, 1807665593, 0.42569032, 0.0027607116, -0.003462983, 0.9048581, -0.0039802226, 0.010794833, 0.14555264, 0
25, 1807682260, 0.42558828, 0.002759937, -0.0034642508, 0.9049061, 0.00945625, 0.009069164, 0.14992523, 0
26, 1807698927, 0.42547885, 0.0027653477, -0.0034720637, 0.90495753, 0.025383785, 8.189829E-4, 0.1374836, 0
27, 1807715594, 0.42573333, 0.0027660583, -0.00347022, 0.90483785, -0.0016538177, -0.013280567, 0.14507389, 0
28, 1807732261, 0.42596835, 0.0027603165, -0.0034747235, 0.9047273, -6.0269743E-4, -9.4456313E-4, 0.15491867, 0
29, 1807748928, 0.42599186, 0.0027582226, -0.0034760498, 0.9047162, -0.009965013, -6.6692947E-4, 0.14667892, 0
30, 1807765595, 0.42594564, 0.002746704, -0.003479149, 0.90473795, 0.0024306807, 0.010491438, 0.15324211, 0
31, 1807782262, 0.42597735, 0.0027438072, -0.0034724653, 0.90472305, 0.0041486537, 0.0074146204, 0.15265656, 0
32, 1807798929, 0.42567986, 0.00273844, -0.0034700965, 0.9048631, -8.518428E-4, 6.8756775E-4, 0.15337086, 0
33, 1807815596, 0.42566428, 0.0027293519, -0.0034765918, 0.90487045, -0.005446623, 0.0010087917, 0.15715218, 0
34, 1807832263, 0.4255698, 0.0027329666, -0.0034843662, 0.90491486, 0.006048659, -0.004941806, 0.1564312, 0
35, 1807848930, 0.42546812, 0.0027362336, -0.0034744216, 0.9049627, 6.668928E-4, -0.00770672, 0.15310478, 0
36, 1807865597, 0.4254144, 0.0027383424, -0.0034732905, 0.9049878, -0.005572475, -0.004915702, 0.16897106, 0
37, 1807882264, 0.42561594, 0.0027400018, -0.0034716905, 0.9048931, -0.013604435, 0.0042096465, 0.1475792, 0
38, 1807898931, 0.42568308, 0.0027398062, -0.0034802882, 0.9048615, -0.009678612, 0.018431598, 0.14753914, 0
39, 1807915598, 0.42541805, 0.0027385277, -0.003489125, 0.90498614, -0.019240653, 0.0017389194, 0.14795017, 0
40, 1807932265, 0.42538542, 0.0027307125, -0.0034968923, 0.90500146, -0.011275612, 0.005164756, 0.13939285, 0
41, 1807948932, 0.42546153, 0.002727221, -0.003510215, 0.90496564, -0.0010757924, -0.006636144, 0.15118694, 0
42, 1807965599, 0.42583668, 0.0027246168, -0.0035159322, 0.9047891, -0.009283228, -0.003048214, 0.14642811, 0
43, 1807982266, 0.42603865, 0.0027247744, -0.0035254154, 0.904694, -0.009284154, -0.001067538, 0.1472454, 0
44, 1807998933, 0.4264867, 0.0027308024, -0.0035245745, 0.90448284, 0.004780069, 8.675402E-4, 0.15155125, 0
45, 1808015600, 0.42646685, 0.0027325617, -0.0035251887, 0.9044922, 0.004704235, -0.004832984, 0.1611929, 0
46, 1808032267, 0.42601135, 0.002735042, -0.0035345724, 0.9047068, 0.001683613, 0.015521934, 0.15882301, 0
47, 1808048934, 0.42590916, 0.0027418833, -0.0035488745, 0.9047548, -0.015498505, 0.008365457, 0.15736103, 0
48, 1808065601, 0.42513105, 0.0027467136, -0.0035381885, 0.9051207, -0.008944112, 0.0065997597, 0.15529919, 0
49, 1808082268, 0.4261852, 0.0027507113, -0.0035354209, 0.90462494, -0.010410479, 0.012087411, 0.15935898, 0
50, 1808098935, 0.42676502, 0.0027611174, -0.0035318506, 0.9043515, 0.0022975681, -1.6124888E-4, 0.14555645, 0
51, 1808115602, 0.4265328, 0.0027716197, -0.0035326756, 0.9044611, -0.004639874, 0.0024008558, 0.15600109, 0
52, 1808132269, 0.4260044, 0.0027836685, -0.0035396516, 0.90470994, -0.0038752118, -3.958877E-4, 0.14901543, 0
53, 1808148936, 0.42572188, 0.0027918231, -0.003536668, 0.904843, -0.011094265, 0.007823745, 0.15457821, 0
54, 1808165603, 0.42567718, 0.002797319, -0.0035327335, 0.90486383, -0.0027130037, -0.009912123, 0.15095615, 0
55, 1808182270, 0.4260056, 0.0027980548, -0.0035284772, 0.90470934, -0.0050047063, 2.916652E-4, 0.15361309, 0
56, 1808198937, 0.42612952, 0.002806127, -0.0035259626, 0.904651, 0.008314968, 8.520113E-4, 0.1495409, 0
57, 1808215604, 0.42618212, 0.0028161593, -0.0035253053, 0.9046262, -0.00597553, -0.0037802642, 0.1562748, 0
58, 1808232271, 0.4269274, 0.0028204701, -0.0035246683, 0.90427476, -0.01266846, -0.004496699, 0.15907764, 0
59, 1808248938, 0.42657158, 0.0028203297, -0.0035142254, 0.9044426, -0.008319227, 0.0018378099, 0.159379, 0
60, 1808265605, 0.42652285, 0.0028213374, -0.0035184082, 0.9044656, 0.0044380384, -6.29987E-4, 0.1532278, 0
61, 1808282272, 0.4262758, 0.002824573, -0.0035252334, 0.9045821, -0.006346762, 0.006835078, 0.16314125, 0
62, 1808298939, 0.42628127, 0.0028291265, -0.0035216843, 0.9045795, 0.0025118054, -0.0043065907, 0.16280842, 0
63, 1808315606, 0.42614675, 0.0028388184, -0.0035199323, 0.90464276, -0.0071306694, 0.004402294, 0.14780426, 0
64, 1808332273, 0.42616796, 0.0028459353, -0.0035060795, 0.9046328, 0.010264368, 0.0014462074, 0.15000153, 0
65, 1808348940, 0.4262154, 0.0028532548, -0.0035019794, 0.9046104, 0.006522857, 0.0011911695, 0.15281677, 0
66, 1808365607, 0.4263685, 0.002853986, -0.0035041587, 0.9045383, -0.0068614376, 0.0121414745, 0.1632843, 0
67, 1808382274, 0.42632174, 0.002851262, -0.0035028083, 0.9045603, -0.002405043, 0.0048237946, 0.14685726, 0
68, 1808398941, 0.42665616, 0.0028554292, -0.003507392, 0.9044027, 9.3184295E-4, -0.010860739, 0.15693474, 0
69, 1808415608, 0.42654255, 0.0028600348, -0.003509995, 0.90445626, -0.015321064, -0.00999792, 0.14994144, 0
70, 1808432275, 0.42646065, 0.0028499528, -0.0035082216, 0.90449494, -0.0068425452, 0.0045447308, 0.14923191, 0
71, 1808448942, 0.42637327, 0.0028578183, -0.003503026, 0.9045361, -0.014285691, -0.0025726822, 0.1588583, 0
72, 1808465609, 0.42603552, 0.0028604292, -0.0035029617, 0.9046952, 0.0032644207, 0.009614223, 0.1548357, 0
73, 1808482276, 0.42606425, 0.0028636388, -0.003506557, 0.9046817, 0.009654141, 0.0054029175, 0.16823673, 0
74, 1808498943, 0.42632508, 0.002858691, -0.0034953428, 0.9045588, 0.006792475, 0.0063039497, 0.15771008, 0
75, 1808515610, 0.42636403, 0.0028599468, -0.003495303, 0.9045404, -4.5846525E-4, 0.003882214, 0.15354633, 0
