DeviceTag:,Xsens DOT 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-16 16:50:55.974 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1703185799, 0.79069054, -0.1307038, 0.22650185, 0.55355394, -0.0027637377, 0.0021341017, 0.20835686, 0
2, 1703202466, 0.7907363, -0.13036583, 0.22637133, 0.55362165, 0.03036256, -0.04282564, 0.2171545, 0
3, 1703219133, 0.7908393, -0.13048103, 0.226226, 0.5535069, 0.035610307, -0.054123215, 0.17230892, 0
4, 1703235800, 0.7909551, -0.13076901, 0.22614287, 0.55330735, 0.033118363, -0.036065828, 0.17256737, 0
5, 1703252467, 0.79103005, -0.13108571, 0.22609566, 0.5531445, 0.022230934, -0.043452036, 0.19249153, 0
6, 1703269134, 0.79110056, -0.13128366, 0.22605987, 0.55301136, 0.030641168, -0.013404743, 0.2069931, 0
7, 1703285801, 0.7911937, -0.13139948, 0.22592582, 0.5529054, 0.019303473, -0.013888871, 0.18302345, 0
8, 1703302468, 0.7912944, -0.13145535, 0.22580992, 0.5527953, -0.014676866, 0.0069061033, 0.190876, 0
9, 1703319135, 0.7913913, -0.13140538, 0.2257422, 0.55269617, -0.026369276, -0.009510364, 0.21651268, 0
10, 1703335802, 0.79149735, -0.13123435, 0.22562668, 0.5526321, -0.033489283, -0.03979324, 0.2003088, 0
11, 1703352469, 0.79158384, -0.1310958, 0.22554466, 0.5525747, -0.051331427, -0.0049987556, 0.14368916, 0
12, 1703369136, 0.79163057, -0.1310871, 0.22557911, 0.5524957, -0.05685376, 1.1544444E-4, 0.107349396, 0
13, 1703385803, 0.7916635, -0.13113964, 0.22568277, 0.5523938, -0.0379677, -0.029447272, 0.1466465, 0
14, 1703402470, 0.79174906, -0.13115078, 0.22573444, 0.55224717, -0.048377592, -0.07138434, 0.1800518, 0
15, 1703419137, 0.7916595, -0.1312266, 0.22565067, 0.55239195, -0.040302962, -0.045872234, 0.13236618, 0
16, 1703435804, 0.79180783, -0.1311426, 0.22552657, 0.5522501, 0.005486014, -0.022438243, 0.1298151, 0
17, 1703452471, 0.7917571, -0.13115272, 0.22530547, 0.5524104, 0.022702882, -0.06677986, 0.10631466, 0
18, 1703469138, 0.7919674, -0.13107786, 0.22518276, 0.5521766, 0.016501179, -0.061783787, 0.0990963, 0
19, 1703485805, 0.7920703, -0.1310782, 0.22508658, 0.55206805, 0.020598283, -0.033763643, 0.11432743, 0
20, 1703502472, 0.7922085, -0.13108574, 0.22509037, 0.55186653, 0.0050142896, -0.00570338, 0.13334846, 0
21, 1703519139, 0.7920828, -0.13125533, 0.22509603, 0.5520044, -0.021030223, 0.037636787, 0.1618061, 0
22, 1703535806, 0.7921577, -0.1313873, 0.22514771, 0.5518445, -0.048284497, -0.01866445, 0.16606903, 0
23, 1703552473, 0.79194105, -0.13159966, 0.22505437, 0.55214274, -0.003138122, -0.025315637, 0.1847887, 0
24, 1703569140, 0.7921992, -0.13151553, 0.2249677, 0.55182767, 0.017213628, -0.027051885, 0.19658852, 0
25, 1703585807, 0.7922003, -0.13147385, 0.22475263, 0.5519239, 0.062885925, -0.0057180203, 0.16428375, 0
26, 1703602474, 0.79198426, -0.13159426, 0.22458579, 0.55227286, 0.033365678, 0.020521507, 0.13523006, 0
27, 1703619141, 0.79200506, -0.13168739, 0.22453092, 0.55224305, -0.0067801536, 0.025550548, 0.13063622, 0
28, 1703635808, 0.7919107, -0.13185272, 0.2244728, 0.5523626, -0.036829796, 0.011059086, 0.16772938, 0
29, 1703652475, 0.7918561, -0.1319833, 0.22437969, 0.5524475, -0.04061968, 0.009071944, 0.19408894, 0
30, 1703669142, 0.7918058, -0.13204792, 0.22422391, 0.55256736, 0.0067384685, 0.0096438015, 0.2157774, 0
31, 1703685809, 0.7917795, -0.13211928, 0.22405636, 0.55265594, -0.010571827, 0.0046654977, 0.15182972, 0
32, 1703702476, 0.79151773, -0.13228194, 0.2238877, 0.5530601, 0.019786485, 0.03712729, 0.13228607, 0
33, 1703719143, 0.7916992, -0.13229899, 0.2239079, 0.5527882, -0.0018212954, 0.010707835, 0.10912609, 0
34, 1703735810, 0.7915612, -0.13248715, 0.22387184, 0.5529553, 0.025156606, -0.0035253582, 0.1299715, 0
35, 1703752477, 0.7915175, -0.13254583, 0.22379586, 0.55303466, 0.027193258, -0.040053632, 0.13547134, 0
36, 1703769144, 0.7912638, -0.13261312, 0.22362013, 0.55345225, 0.053203125, -0.026342902, 0.14749622, 0
37, 1703785811, 0.7912276, -0.13259521, 0.22356813, 0.5535293, 0.053373218, -0.012778236, 0.13743877, 0
38, 1703802478, 0.79118603, -0.13262014, 0.22356708, 0.5535832, -0.014447318, -0.013892783, 0.11429787, 0
39, 1703819145, 0.79103947, -0.13277109, 0.22361352, 0.5537378, -0.027070101, -0.020950316, 0.108371735, 0
40, 1703835812, 0.79082495, -0.13298807, 0.22369644, 0.5539585, -0.026616147, -0.01276136, 0.11777115, 0
41, 1703852479, 0.7908627, -0.13310029, 0.22379096, 0.55383956, -0.013872444, -0.017590245, 0.12381935, 0
42, 1703869146, 0.7908865, -0.13315813, 0.22378257, 0.553795, -0.01935477, -0.04990832, 0.19031334, 0
43, 1703885813, 0.7908039, -0.13313515, 0.22361815, 0.5539852, 0.00705094, -0.07342132, 0.21413231, 0
44, 1703902480, 0.7913633, -0.13277504, 0.22357708, 0.5532886, 0.037429813, -0.0048912456, 0.15701199, 0
45, 1703919147, 0.7914652, -0.13268079, 0.22356433, 0.5531705, 0.034012415, 0.042054076, 0.14311981, 0
46, 1703935814, 0.7913716, -0.13281019, 0.22366968, 0.5532308, 0.0105443355, 0.05517842, 0.1550436, 0
47, 1703952481, 0.791277, -0.13298671, 0.22375983, 0.5532874, -0.044221926, -9.4814197E-4, 0.19946861, 0
48, 1703969148, 0.79117435, -0.13312037, 0.22380224, 0.55338484, -0.02232168, 0.0012663127, 0.20054054, 0
49, 1703985815, 0.7913362, -0.1331124, 0.22378273, 0.5531633, -0.041597772, 0.0063828593, 0.17210484, 0
50, 1704002482, 0.7913796, -0.13313864, 0.22368741, 0.55313325, -0.023752833, 0.006644705, 0.15079212, 0
51, 1704019149, 0.79163337, -0.13304874, 0.22361864, 0.55281967, 0.028843006, -0.013071485, 0.13620567, 0
52, 1704035816, 0.7918229, -0.13291395, 0.22353631, 0.55261374, 0.02444036, 0.017321248, 0.16586685, 0
53, 1704052483, 0.7916664, -0.1329573, 0.22340804, 0.5528794, -0.0017737988, 0.025170688, 0.16283226, 0
54, 1704069150, 0.79169005, -0.13300374, 0.22340792, 0.5528344, 0.02410375, 0.04542007, 0.11302948, 0
55, 1704085817, 0.7915816, -0.13318811, 0.22347611, 0.55291784, 0.022376217, 0.004829556, 0.1387062, 0
56, 1704102484, 0.7916191, -0.13332345, 0.22359063, 0.55278504, -0.0016560075, -0.024409514, 0.1283617, 0
57, 1704119151, 0.7916737, -0.13338104, 0.22362143, 0.55268055, -0.0098300995, -0.053151157, 0.19124603, 0
58, 1704135818, 0.79185104, -0.13329017, 0.223557, 0.5524744, -0.0153839495, -0.055257097, 0.17542267, 0
59, 1704152485, 0.7922357, -0.13307427, 0.22350672, 0.55199534, -0.020035366, -7.107712E-4, 0.15358257, 0
